,Length,Width,Height,Weight
2373,4.611,2.036,1.46,1478.0
2374,4.725,2.036,1.48,1577.5
2375,4.611,2.036,1.46,1398.0
2376,4.839,2.036,1.48,1530.5
2377,4.596,2.036,1.46,1474.5
2378,4.596,2.036,1.46,1463.0
2379,4.824,2.036,1.46,1559.0
2380,4.457,1.773,1.4575,1323.5
2381,4.457,1.773,1.425,1308.5
2382,4.4925,1.8475,1.4575,1388.5
2383,3.675,1.876,1.485,864.0
2384,3.676,1.876,1.532,864.0
2386,5.198,2.283,1.971,2045.0
2387,3.788,1.884,1.1145,902.5
2389,4.941,2.174,1.468,1840.5
2391,4.467,1.9035,1.635,1514.5
2392,4.467,1.781,1.635,1434.0
2393,4.316,1.9955,1.6365,1409.5
2394,4.864,1.999,1.45,1640.0
2396,4.5,2.1,1.818,1575.5
2398,4.853,2.1,1.818,1685.5
2400,4.898,2.29,1.9925,2521.5
2401,5.104,2.297,1.97,2409.5
2402,4.264,2.027,1.471,1562.5
2403,3.57,1.91,1.498,1187.0
2406,4.3445,2.05,1.5955,1387.0
2409,4.261,2.07,1.568,1789.0
2410,4.771,2.083,1.4695,1492.5
2411,4.771,2.083,1.502,1507.5
2412,4.7785,2.083,1.527,1591.5
2413,4.06,1.964,1.461,1165.0
2414,4.854,2.081,1.72,1715.5
2416,4.4685,1.9675,1.703,1577.5
2417,4.703,1.969,1.674,1720.0
2418,4.878,2.193,1.702,1970.0
2419,4.527,1.8215,1.651,1470.5
2420,4.2485,1.9055,1.573,1350.0
2421,4.268,1.998,1.523,1447.0
2422,3.57,1.81,1.491,928.0
2423,4.283,1.923,1.487,1343.0
2424,4.283,1.923,1.473,1423.0
2425,4.105,1.8155,1.498,1305.5
2426,4.105,1.7785,1.502,1390.5
2427,4.286,1.822,1.502,1435.0
2428,4.286,1.822,1.49,1527.5
2429,4.376,1.8765,1.446,1381.5
2432,4.875,2.062,1.834,1808.0
2433,4.891,2.2625,1.9925,2461.0
2434,5.091,2.2625,1.9695,2311.5
2435,4.802,2.09,1.419,1540.0
2436,4.043,1.675,1.318,1192.5
2437,4.415,2.0175,1.4405,1544.0
2438,3.828,1.66,1.544,1096.0
2439,4.3095,2.027,1.467,1335.0
2440,4.436,2.027,1.4755,1397.5
2441,4.5815,2.027,1.5055,1533.0
2442,4.268,2.027,1.442,1325.5
2443,4.436,2.027,1.4515,1468.0
2444,4.252,2.044,1.4185,1492.5
2445,4.246,2.044,1.423,1420.5
2446,4.35,2.044,1.414,1539.0
2447,4.204,1.946,1.592,1428.0
2448,4.534,1.781,1.504,1444.5
2449,4.199,2.048,1.479,1254.0
2450,4.213,2.048,1.501,1369.0
2451,4.213,2.048,1.501,1471.0
2452,4.556,1.781,1.504,1346.0
2453,4.204,1.8845,1.482,1365.5
2454,4.204,2.01,1.485,1352.0
2455,4.206,1.956,1.58,1455.5
2456,4.246,2.01,1.465,1524.0
2457,4.397,1.869,1.479,1380.5
2458,4.149,1.8765,1.4375,1301.0
2459,4.047,1.8305,1.418,1189.5
2460,4.3415,1.8025,1.43,1230.0
2461,4.178,1.7995,1.415,1175.0
2464,4.6515,2.02,1.482,1330.5
2465,4.554,2.01,1.459,1500.5
2467,3.527,1.884,1.4595,1002.5
2468,4.769,1.82,1.47,1525.0
2471,4.774,1.82,1.517,1621.5
2472,4.799,1.855,1.417,1531.0
2473,4.765,2.004,1.472,1597.5
2474,4.7695,1.912,1.4945,1718.0
2475,4.703,1.912,1.462,1552.0
2477,4.672,1.74,1.4775,1394.0
2478,3.686,1.74,1.4825,1459.0
2480,4.5885,1.826,1.43,1262.5
2484,5.117,1.9055,1.45,2373.5
2485,3.9855,1.901,1.4685,1098.0
2486,3.9765,1.901,1.4525,1245.5
2487,3.9065,1.786,1.466,1316.0
2489,3.912,1.786,1.467,1173.0
2490,3.743,1.832,1.418,1036.5
2492,4.137,1.72,1.433,1058.0
2493,3.7115,1.7415,1.42,995.0
2494,4.137,1.64,1.422,1140.0
2495,4.137,1.64,1.433,1170.0
2499,4.256,1.945,1.405,1299.5
2500,4.252,1.945,1.4,1359.5
2502,4.634,2.142,1.731,1801.0
2503,4.621,2.1545,1.73,1761.0
2504,4.4295,1.925,1.703,1571.0
2505,4.798,2.074,1.709,2212.5
2506,4.754,2.079,1.7145,2449.5
2508,4.397,1.9375,1.634,1533.0
2509,4.399,1.93,1.6275,1541.0
2511,4.761,2.04,1.437,1798.0
2512,4.963,2.019,1.443,1844.5
2513,4.784,2.04,1.5015,1768.5
2514,4.7725,2.04,1.4685,1820.5
2515,4.936,2.0355,1.509,1854.5
2516,4.936,2.052,1.543,1856.0
2517,4.425,2.034,1.658,1619.0
2518,4.425,2.034,1.658,2129.0
2519,4.688,2.117,1.658,1945.0
2520,4.9515,2.14,1.776,2122.0
2526,4.334,1.683,1.384,1051.0
2527,4.379,1.683,1.38,1055.0
2528,4.2635,1.7055,1.3215,1016.5
2533,4.684,1.756,1.4,1387.5
2534,4.684,1.756,1.43,1469.0
2535,3.823,1.751,1.4275,1400.0
2536,4.873,1.751,1.41,1400.0
2537,4.9355,1.751,1.435,1489.5
2538,4.8555,1.751,1.45,1489.5
2539,4.259,2.039,1.447,1385.5
2540,4.5985,2.006,1.4,1717.5
2541,4.718,1.844,1.4245,1565.0
2542,3.69,1.82,1.41,1453.0
2543,4.472,1.896,1.453,1389.0
2544,4.4825,1.808,1.401,1273.0
2545,4.6315,2.097,1.484,1593.5
2546,4.635,2.097,1.539,1680.5
2547,4.6065,1.9375,1.4295,1540.0
2548,4.684,1.756,1.39,1470.0
2549,4.8525,2.106,1.4915,1698.5
2550,4.835,1.8315,1.63,1542.0
2551,4.9395,1.8285,1.42,1489.0
2552,4.3695,1.949,1.442,1430.5
2554,4.4825,1.8105,1.405,1280.5
2555,4.518,1.896,1.4545,1414.0
2556,4.6315,2.097,1.484,1755.0
2557,4.635,2.097,1.545,1698.5
2558,4.635,2.097,1.484,1781.0
2559,4.8185,2.106,1.364,1746.5
2560,4.7215,1.925,1.508,1608.5
2561,4.684,1.778,1.449,1534.5
2562,4.768,1.8655,1.45,1553.0
2563,4.6355,2.131,1.713,1795.5
2564,4.838,2.119,1.421,1826.0
2565,4.733,1.98,1.5005,1689.0
2566,4.8025,2.005,1.743,2098.5
